Freq(Hz),S11_real,S11_imag,S21_real,S21_imag,S12_real,S12_imag,S22_real,S22_imag
1,1.39e+10,0.800481,-0.283048,0.00774008,0.0427775,0.00774008,0.0427775,0.970463,-0.10075
1,1.4e+10,0.799827,-0.28448,0.0078789,0.0430333,0.0078789,0.0430333,0.970324,-0.101331
1,1.41e+10,0.799172,-0.285912,0.00801796,0.0432888,0.00801796,0.0432888,0.970187,-0.101913
1,1.42e+10,0.798515,-0.287344,0.00815726,0.043544,0.00815726,0.043544,0.970049,-0.102494
1,1.43e+10,0.797856,-0.288776,0.00829681,0.0437988,0.00829681,0.0437988,0.969912,-0.103075
1,1.44e+10,0.797197,-0.290208,0.00843661,0.0440533,0.00843661,0.0440533,0.969776,-0.103656
1,1.45e+10,0.796535,-0.29164,0.00857667,0.0443074,0.00857667,0.0443074,0.969639,-0.104237
1,1.46e+10,0.795872,-0.293072,0.00871699,0.0445612,0.00871699,0.0445612,0.969503,-0.104818
1,1.47e+10,0.795206,-0.294504,0.00885759,0.0448147,0.00885759,0.0448147,0.969367,-0.105399
1,1.48e+10,0.794538,-0.295935,0.00899846,0.0450678,0.00899846,0.0450678,0.969231,-0.10598
1,1.49e+10,0.793868,-0.297366,0.00913962,0.0453207,0.00913962,0.0453207,0.969095,-0.10656
1,1.5e+10,0.793195,-0.298795,0.00928107,0.0455732,0.00928107,0.0455732,0.96896,-0.107141
1,1.51e+10,0.79252,-0.300225,0.00942281,0.0458254,0.00942281,0.0458254,0.968824,-0.107722
1,1.52e+10,0.791841,-0.301653,0.00956485,0.0460774,0.00956485,0.0460774,0.968688,-0.108302
1,1.53e+10,0.791159,-0.303081,0.00970719,0.046329,0.00970719,0.046329,0.968553,-0.108883
1,1.54e+10,0.790475,-0.304508,0.00984984,0.0465803,0.00984984,0.0465803,0.968417,-0.109463
1,1.55e+10,0.789788,-0.305934,0.00999281,0.0468313,0.00999281,0.0468313,0.968281,-0.110044
1,1.56e+10,0.789098,-0.307359,0.0101361,0.0470819,0.0101361,0.0470819,0.968145,-0.110624
1,1.57e+10,0.788404,-0.308784,0.0102797,0.0473323,0.0102797,0.0473323,0.968009,-0.111205
1,1.58e+10,0.787708,-0.310209,0.0104237,0.0475824,0.0104237,0.0475824,0.967873,-0.111785
1,1.59e+10,0.787009,-0.311633,0.0105679,0.0478321,0.0105679,0.0478321,0.967737,-0.112366
1,1.6e+10,0.786307,-0.313057,0.0107125,0.0480816,0.0107125,0.0480816,0.967601,-0.112947
1,1.61e+10,0.785602,-0.31448,0.0108575,0.0483307,0.0108575,0.0483307,0.967465,-0.113527
1,1.62e+10,0.784894,-0.315903,0.0110028,0.0485795,0.0110028,0.0485795,0.967329,-0.114108
1,1.63e+10,0.784184,-0.317326,0.0111485,0.048828,0.0111485,0.048828,0.967192,-0.114689
1,1.64e+10,0.78347,-0.318748,0.0112945,0.0490763,0.0112945,0.0490763,0.967056,-0.11527
1,1.65e+10,0.782753,-0.32017,0.0114409,0.0493241,0.0114409,0.0493241,0.96692,-0.115851
1,1.66e+10,0.782033,-0.321593,0.0115876,0.0495717,0.0115876,0.0495717,0.966783,-0.116432
1,1.67e+10,0.78131,-0.323014,0.0117347,0.049819,0.0117347,0.049819,0.966647,-0.117013
1,1.68e+10,0.780585,-0.324437,0.0118822,0.050066,0.0118822,0.050066,0.96651,-0.117594
1,1.69e+10,0.779856,-0.325858,0.0120301,0.0503126,0.0120301,0.0503126,0.966374,-0.118175
1,1.7e+10,0.779124,-0.32728,0.0121784,0.050559,0.0121784,0.050559,0.966237,-0.118757
1,1.71e+10,0.77839,-0.328702,0.012327,0.050805,0.012327,0.050805,0.966101,-0.119339
1,1.72e+10,0.777652,-0.330124,0.0124761,0.0510507,0.0124761,0.0510507,0.965964,-0.11992
1,1.73e+10,0.776912,-0.331546,0.0126255,0.0512961,0.0126255,0.0512961,0.965827,-0.120502
1,1.74e+10,0.776168,-0.332968,0.0127754,0.0515412,0.0127754,0.0515412,0.96569,-0.121084
1,1.75e+10,0.775422,-0.334391,0.0129256,0.051786,0.0129256,0.051786,0.965553,-0.121667
1,1.76e+10,0.774672,-0.335813,0.0130763,0.0520305,0.0130763,0.0520305,0.965416,-0.122249
1,1.77e+10,0.77392,-0.337236,0.0132274,0.0522747,0.0132274,0.0522747,0.965279,-0.122832
1,1.78e+10,0.773165,-0.338659,0.0133789,0.0525186,0.0133789,0.0525186,0.965142,-0.123415
1,1.79e+10,0.772406,-0.340082,0.0135309,0.0527621,0.0135309,0.0527621,0.965004,-0.123998
1,1.8e+10,0.771645,-0.341506,0.0136832,0.0530054,0.0136832,0.0530054,0.964867,-0.124581
1,1.81e+10,0.770881,-0.34293,0.013836,0.0532483,0.013836,0.0532483,0.96473,-0.125164
1,1.82e+10,0.770114,-0.344354,0.0139893,0.0534909,0.0139893,0.0534909,0.964592,-0.125748
1,1.83e+10,0.769344,-0.345778,0.0141429,0.0537332,0.0141429,0.0537332,0.964454,-0.126332
1,1.84e+10,0.768571,-0.347203,0.0142971,0.0539752,0.0142971,0.0539752,0.964317,-0.126916
1,1.85e+10,0.767795,-0.348629,0.0144517,0.0542169,0.0144517,0.0542169,0.964179,-0.1275
1,1.86e+10,0.767015,-0.350055,0.0146067,0.0544583,0.0146067,0.0544583,0.964041,-0.128084
1,1.87e+10,0.766234,-0.351481,0.0147622,0.0546994,0.0147622,0.0546994,0.963903,-0.128669
1,1.88e+10,0.765449,-0.352907,0.0149181,0.0549401,0.0149181,0.0549401,0.963765,-0.129254
1,1.89e+10,0.764661,-0.354335,0.0150746,0.0551806,0.0150746,0.0551806,0.963627,-0.129839
1,1.9e+10,0.763871,-0.355762,0.0152315,0.0554207,0.0152315,0.0554207,0.963489,-0.130425
1,1.91e+10,0.763077,-0.357191,0.0153888,0.0556605,0.0153888,0.0556605,0.963351,-0.131011
1,1.92e+10,0.76228,-0.358619,0.0155467,0.0559,0.0155467,0.0559,0.963213,-0.131597
1,1.93e+10,0.761481,-0.360049,0.015705,0.0561393,0.015705,0.0561393,0.963074,-0.132183
1,1.94e+10,0.760679,-0.361478,0.0158638,0.0563781,0.0158638,0.0563781,0.962936,-0.132769
1,1.95e+10,0.759874,-0.362909,0.0160232,0.0566167,0.0160232,0.0566167,0.962797,-0.133356
1,1.96e+10,0.759066,-0.36434,0.016183,0.056855,0.016183,0.056855,0.962659,-0.133943
1,1.97e+10,0.758255,-0.365772,0.0163433,0.0570929,0.0163433,0.0570929,0.96252,-0.13453
1,1.98e+10,0.757441,-0.367204,0.0165041,0.0573306,0.0165041,0.0573306,0.962381,-0.135118
1,1.99e+10,0.756625,-0.368637,0.0166654,0.0575679,0.0166654,0.0575679,0.962243,-0.135706
1,2e+10,0.755805,-0.37007,0.0168272,0.0578049,0.0168272,0.0578049,0.962104,-0.136294
1,2.01e+10,0.754983,-0.371504,0.0169895,0.0580416,0.0169895,0.0580416,0.961965,-0.136882
1,2.02e+10,0.754158,-0.372939,0.0171524,0.058278,0.0171524,0.058278,0.961826,-0.137471
1,2.03e+10,0.75333,-0.374374,0.0173158,0.058514,0.0173158,0.058514,0.961687,-0.13806
1,2.04e+10,0.752499,-0.37581,0.0174796,0.0587498,0.0174796,0.0587498,0.961547,-0.138649
1,2.05e+10,0.751666,-0.377247,0.0176441,0.0589853,0.0176441,0.0589853,0.961408,-0.139238
1,2.06e+10,0.75083,-0.378685,0.017809,0.0592204,0.017809,0.0592204,0.961269,-0.139828
1,2.07e+10,0.749991,-0.380123,0.0179745,0.0594552,0.0179745,0.0594552,0.961129,-0.140418
1,2.08e+10,0.749149,-0.381561,0.0181405,0.0596897,0.0181405,0.0596897,0.96099,-0.141009
1,2.09e+10,0.748305,-0.383001,0.0183071,0.0599239,0.0183071,0.0599239,0.96085,-0.141599
1,2.1e+10,0.747457,-0.384441,0.0184742,0.0601577,0.0184742,0.0601577,0.960711,-0.14219
1,2.11e+10,0.746607,-0.385882,0.0186419,0.0603913,0.0186419,0.0603913,0.960571,-0.142782
1,2.12e+10,0.745755,-0.387323,0.0188101,0.0606245,0.0188101,0.0606245,0.960431,-0.143373
1,2.13e+10,0.7449,-0.388765,0.0189788,0.0608574,0.0189788,0.0608574,0.960291,-0.143965
1,2.14e+10,0.744042,-0.390208,0.0191481,0.06109,0.0191481,0.06109,0.960152,-0.144557
1,2.15e+10,0.743181,-0.391652,0.019318,0.0613223,0.019318,0.0613223,0.960012,-0.145149
1,2.16e+10,0.742317,-0.393096,0.0194884,0.0615543,0.0194884,0.0615543,0.959872,-0.145742
1,2.17e+10,0.741452,-0.394541,0.0196594,0.0617859,0.0196594,0.0617859,0.959732,-0.146335
1,2.18e+10,0.740583,-0.395987,0.019831,0.0620173,0.019831,0.0620173,0.959591,-0.146928
1,2.19e+10,0.739712,-0.397433,0.0200032,0.0622483,0.0200032,0.0622483,0.959451,-0.147521
1,2.2e+10,0.738838,-0.39888,0.0201759,0.062479,0.0201759,0.062479,0.959311,-0.148115
1,2.21e+10,0.737962,-0.400328,0.0203492,0.0627093,0.0203492,0.0627093,0.959171,-0.148709
1,2.22e+10,0.737083,-0.401776,0.0205231,0.0629394,0.0205231,0.0629394,0.95903,-0.149304
1,2.23e+10,0.736202,-0.403225,0.0206975,0.0631691,0.0206975,0.0631691,0.95889,-0.149898
1,2.24e+10,0.735318,-0.404674,0.0208726,0.0633986,0.0208726,0.0633986,0.95875,-0.150493
1,2.25e+10,0.734431,-0.406125,0.0210482,0.0636276,0.0210482,0.0636276,0.958609,-0.151088
1,2.26e+10,0.733542,-0.407575,0.0212244,0.0638564,0.0212244,0.0638564,0.958468,-0.151684
1,2.27e+10,0.732651,-0.409027,0.0214012,0.0640849,0.0214012,0.0640849,0.958328,-0.15228
1,2.28e+10,0.731757,-0.410479,0.0215787,0.064313,0.0215787,0.064313,0.958187,-0.152875
1,2.29e+10,0.730861,-0.411932,0.0217567,0.0645408,0.0217567,0.0645408,0.958047,-0.153472
1,2.3e+10,0.729963,-0.413385,0.0219353,0.0647684,0.0219353,0.0647684,0.957906,-0.154068
1,2.31e+10,0.729062,-0.414839,0.0221145,0.0649955,0.0221145,0.0649955,0.957765,-0.154665
1,2.32e+10,0.728158,-0.416293,0.0222943,0.0652224,0.0222943,0.0652224,0.957624,-0.155262
1,2.33e+10,0.727253,-0.417748,0.0224748,0.0654489,0.0224748,0.0654489,0.957483,-0.155859
1,2.34e+10,0.726345,-0.419204,0.0226558,0.0656751,0.0226558,0.0656751,0.957342,-0.156457
1,2.35e+10,0.725435,-0.42066,0.0228374,0.065901,0.0228374,0.065901,0.957202,-0.157054
1,2.36e+10,0.724522,-0.422117,0.0230197,0.0661266,0.0230197,0.0661266,0.957061,-0.157652
1,2.37e+10,0.723607,-0.423574,0.0232026,0.0663518,0.0232026,0.0663518,0.95692,-0.15825
1,2.38e+10,0.72269,-0.425032,0.0233861,0.0665768,0.0233861,0.0665768,0.956779,-0.158849
1,2.39e+10,0.721771,-0.42649,0.0235702,0.0668013,0.0235702,0.0668013,0.956638,-0.159447
1,2.4e+10,0.72085,-0.427948,0.023755,0.0670256,0.023755,0.0670256,0.956497,-0.160046
1,2.41e+10,0.719926,-0.429407,0.0239403,0.0672496,0.0239403,0.0672496,0.956356,-0.160645
1,2.42e+10,0.719001,-0.430867,0.0241263,0.0674732,0.0241263,0.0674732,0.956214,-0.161245
1,2.43e+10,0.718073,-0.432327,0.024313,0.0676965,0.024313,0.0676965,0.956073,-0.161844
1,2.44e+10,0.717143,-0.433787,0.0245002,0.0679195,0.0245002,0.0679195,0.955932,-0.162444
1,2.45e+10,0.716212,-0.435247,0.0246881,0.0681422,0.0246881,0.0681422,0.955791,-0.163044
1,2.46e+10,0.715278,-0.436708,0.0248766,0.0683645,0.0248766,0.0683645,0.95565,-0.163644
