ZM 1 imOhms X,ZM 1 imOhms Y
1930000000,-259.6107274564381
1940000000,-258.2271034949988
1950000000,-256.9767390580957
1960000000,-255.8557431458334
1970000000,-254.6302346018692
1980000000,-253.4174721442474
1990000000,-252.1045399745225
2000000000,-251.0294203627706
2010000000,-249.8537579906105
2020000000,-248.6900954192942
2030000000,-247.5382552191338
2040000000,-246.3980634371823
2050000000,-245.2693495149363
2060000000,-244.1519462043624
2070000000,-243.0456894861051
2080000000,-241.950418496162
2090000000,-240.8659754472653
2100000000,-239.6911256041818
2110000000,-238.7289569706266
2120000000,-237.6760807061977
2130000000,-236.633430572449
2140000000,-235.6008631111875
2150000000,-234.5782375308744
2160000000,-233.5654156467235
2170000000,-232.5622618198651
2180000000,-231.5686428997444
2190000000,-230.5844281631926
2200000000,-229.6094892667834
2210000000,-228.5525653626469
2220000000,-227.6869371681864
2230000000,-226.7390786761742
2240000000,-225.8000053426931
2250000000,-224.8695999232477
2260000000,-223.9477472449056
2270000000,-223.0343341638574
2280000000,-222.0437059036318
2290000000,-221.1475975157932
2300000000,-220.2595911383463
2310000000,-219.4628834611965
2320000000,-218.5074650503752
2330000000,-217.7249957400849
2340000000,-216.8676531203283
2350000000,-215.9374667670606
2360000000,-215.1756781943702
2370000000,-214.3408540005896
2380000000,-213.4349484049169
2390000000,-212.6930644653905
2400000000,-211.8799167232585
2410000000,-211.0738145851692
2420000000,-210.2746705830739
2430000000,-209.4072455869281
2440000000,-208.6223863077124
2450000000,-207.9181341343155
2460000000,-207.1459763454251
2470000000,-206.3803603589539
2480000000,-205.6212069103737
2490000000,-204.8684380076817
2500000000,-204.121976905778
2510000000,-203.3817480807793
2520000000,-202.6476772063386
2530000000,-201.9196911299427
2540000000,-201.1977178499661
2550000000,-200.4816864922481
2560000000,-199.7715272889738
2570000000,-199.0671715578993
2580000000,-198.3020231825912
2590000000,-197.6756010747935
2600000000,-196.9882541925477
2610000000,-196.30644648106
2620000000,-195.6301143748293
2630000000,-194.9591952721858
2640000000,-194.2936275196438
2650000000,-193.63335039289
2660000000,-192.9783040798177
2670000000,-192.328429661158
2680000000,-191.6836690983531
2690000000,-191.0439652127605
2700000000,-190.3486180204163
2710000000,-189.7795029723079
2720000000,-189.1546344283894
2730000000,-188.4753090677531
2740000000,-187.9193530394288
2750000000,-187.3088347614446
2760000000,-186.7029957427779
2770000000,-186.1017851529941
2780000000,-185.5051528918055
2790000000,-184.9130495749814
2800000000,-184.3254265230171
2810000000,-183.7422357478922
2820000000,-183.1634299408932
2830000000,-182.4787922524843
2840000000,-182.0187873212122
2850000000,-181.4528591806643
2860000000,-180.8911333306504
2870000000,-180.333565683663
2880000000,-179.7801127633052
2890000000,-179.2307316942714
2900000000,-178.6853801900151
2910000000,-178.1440165455229
2920000000,-177.6065996244766
2930000000,-177.0730888502834
2940000000,-176.5434442002417
2950000000,-176.0176261883267
2960000000,-175.3950704337421
2970000000,-174.9773148004863
2980000000,-174.4627450825142
2990000000,-173.9518493023303
3000000000,-173.4445905502066
3010000000,-172.9409324045
3020000000,-172.4408389254878
3030000000,-171.9442746455437
3040000000,-171.4512045630699
3050000000,-170.9615941347579
3060000000,-170.4754092658448
3070000000,-169.9926163058567
3080000000,-169.5131820396892
3090000000,-168.9449907086662
3100000000,-168.5642588640912
3110000000,-168.094705639741
3120000000,-167.6283824661797
3130000000,-167.1652582033311
3140000000,-166.7053021067778
3150000000,-166.2484838212027
3160000000,-165.7947733739151
3170000000,-165.3441411692082
3180000000,-164.8965579825433
3190000000,-164.4519949546562
3200000000,-164.0104235848839
3210000000,-163.5718157272877
3220000000,-163.1361435834688
3230000000,-162.7033796988217
3240000000,-162.2734969560191
3250000000,-161.8464685693637
3260000000,-161.4222680820264
3270000000,-161.00086935859
3280000000,-160.5007246002044
3290000000,-160.1663742436964
3300000000,-159.7532271500401
3310000000,-159.3427804050231
3320000000,-158.9350094135481
3330000000,-158.5298898740403
3340000000,-158.1273977745892
3350000000,-157.7275093894275
3360000000,-157.3302012730917
3370000000,-156.9354502572455
3380000000,-156.5432334471331
3390000000,-156.1535282162361
3400000000,-155.7663122030621
3410000000,-155.3815633068587
3420000000,-154.999259685137
3430000000,-154.6193797477186
3440000000,-154.2419021547758
3450000000,-153.8668058123819
3460000000,-153.4940698689567
3470000000,-153.1236737129439
3480000000,-152.7555969676291
3490000000,-152.3898194887022
3500000000,-151.9549157131142
3510000000,-151.6650828956637
3520000000,-151.306084624321
3530000000,-150.9493073003557
3540000000,-150.5947318919655
3550000000,-150.242339580701
3560000000,-149.8921117587244
